Book,Page,Chapter,POV,NUN,FullName
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,2nd of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,3rd of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,4th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,5th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,6th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,7th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,8th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,9th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,10th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,11th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,12th of the 12 servants of Septon Mattheus
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old Keeper of the Keys
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new Keeper of the Keys who replaced the old one
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old chief steward of the Red Keep
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new chief steward of the Red Keep who replaced the old one
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The 1st old understeward of the Red Keep
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The other old understewards of the Red Keep
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The 1st new understeward of the Red Keep who replaced the old one
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The other new understewards of the Red Keep who replaced the olds one
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old harbormaster of King’s Landing
Fire and Blood Vol. 1,182,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new harbormaster of King’s Landing who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old harbormaster of Oldtown
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new harbormaster of Oltown who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old harbormaster of Maidenpool
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new harbormaster of Maidenpool who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old harbormaster of Duskendale
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new harbormaster of Duskendale who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old Warden of the King’s Mint
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new Warden of the King’s Mint who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The new King's Justice who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old Master-at-arms at the Red Keep
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,New Master-at-arms at the Red Keep who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old kennelmaster at the Red Keep
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,New kennelmaster at the Red Keep who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old master of horse at the Red Keep
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,New master of horse at the Red Keep who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The old ratcatcher at the Red Keep
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,New ratcatcher at the Red Keep who replaced the old one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The other old ratcatchers at the Red Keep
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,The other new ratcatchers at the Red Keep who replaced the olds one
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,1st of 6 of the oldest knights in the service of Lord Rogar Baratheon
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,2nd of 6 of the oldest knights in the service of Lord Rogar Baratheon
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,3rd of 6 of the oldest knights in the service of Lord Rogar Baratheon
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,4th of 6 of the oldest knights in the service of Lord Rogar Baratheon
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,5th of 6 of the oldest knights in the service of Lord Rogar Baratheon
Fire and Blood Vol. 1,183,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,6th of 6 of the oldest knights in the service of Lord Rogar Baratheon
Fire and Blood Vol. 1,185,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,"Baratheon, niece or nephew of Lord Rogar Baratheon"
Fire and Blood Vol. 1,187,A Time of Testing - The Realm Remade,Archmaester Gyldayn,UN,Daughter of Orryn Baratheon and the Archon's daughter
Fire and Blood Vol. 1,192,A Time of Testing - The Realm Remade,Archmaester Gyldayn,Named,Septon Baldrick
Fire and Blood Vol. 1,192,A Time of Testing - The Realm Remade,Archmaester Gyldayn,Named,Septon Rollo
Fire and Blood Vol. 1,192,A Time of Testing - The Realm Remade,Archmaester Gyldayn,Named,Septon Alfyn who becomes High Septon in 54 AC
Fire and Blood Vol. 1,192,A Time of Testing - The Realm Remade,Archmaester Gyldayn,Named,Septa Violante
Fire and Blood Vol. 1,192,A Time of Testing - The Realm Remade,Archmaester Gyldayn,Named,Mother Maris
Fire and Blood Vol. 1,193,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,Burly hedge knight
Fire and Blood Vol. 1,193,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,Sister of the burly hedge knight
Fire and Blood Vol. 1,196,A Time of Testing - The Realm Remade,Archmaester Gyldayn,US,Harpist from Oldtown brought to court by Alysanne
Fire and Blood Vol. 1,196,A Time of Testing - The Realm Remade,Archmaester Gyldayn,Nicknamed,"The Goodwife, the first fool at the Red Keep"
Fire and Blood Vol. 1,198,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,Lady Mooton in 51 AC
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,1st of the 3 Sisters who tended Jonquil’s Pool who tried to kill Queen Alysanne
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,2nd of the 3 Sisters who tended Jonquil’s Pool who tried to kill Queen Alysanne
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,3rd of the 3 Sisters who tended Jonquil’s Pool who tried to kill Queen Alysanne
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,1st of the 6 other Sisters who tended Jonquil’s Pool who were had helped plan the attack
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,2nd of the 6 other Sisters who tended Jonquil’s Pool who were had helped plan the attack
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,3rd of the 6 other Sisters who tended Jonquil’s Pool who were had helped plan the attack
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,4th of the 6 other Sisters who tended Jonquil’s Pool who were had helped plan the attack
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,5th of the 6 other Sisters who tended Jonquil’s Pool who were had helped plan the attack
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,6th of the 6 other Sisters who tended Jonquil’s Pool who were had helped plan the attack
Fire and Blood Vol. 1,199,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"The new Lord Darklyn in 51 AC, half brother of Jonquil Darke"
Fire and Blood Vol. 1,203,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Lord Grafton in 52 AC, betrothed to Prudence Celtigar"
Fire and Blood Vol. 1,206,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,"Lord Maegor Towers, last of his House"
Fire and Blood Vol. 1,206,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Mother of Lord Corlys Velaryon, she was married to either Corwyn, Jorgen or Victor Velaryon"
Fire and Blood Vol. 1,206,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,"Princess Daenerys Targaryen, daughter of Jaehaerys I [She replaces Prince Aeryn from TWOIAF (retcon)]"
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,1st of the 3 terrified grooms interrogated by Rhaena Targaryen
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,2nd of the 3 terrified grooms interrogated by Rhaena Targaryen
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,3rd of the 3 terrified grooms interrogated by Rhaena Targaryen
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,"Keeper of the dragon yard of Dragonstone, interrogated by Rhaena Targaryen"
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,1st of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,2nd of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,3rd of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,4th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,5th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,6th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,7th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,8th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,9th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,10th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,11th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,208,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,12th of the 12 men expelled from Dragonstone because Rhaena Targaryen found them suspicious concerning the theft of 3 dragon eggs
Fire and Blood Vol. 1,210,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,Sealord of Braavos in at least 54 - 57 AC who bought the 3 stolen dragon eggs from Elissa Farman (he may be the Sealord from 49 AC)
Fire and Blood Vol. 1,212,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,Lord Bertrand Tyrell
Fire and Blood Vol. 1,212,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,Lord Caswell in 54 AC (he may be the Lord Caswell in 43 AC)
Fire and Blood Vol. 1,212,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,Archmaester Goodwyn
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon Hightower, younger brother of Lord Donnel Hightower who later becomes High Septon"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon Hightower, 1st nephew of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon Hightower, 2nd nephew of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon/Septa Hightower, 1st cousin of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon/Septa Hightower, 2nd cousin of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon/Septa Hightower, 3rd cousin of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon/Septa Hightower, 4th cousin of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon/Septa Hightower, 5th cousin of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Septon/Septa Hightower, 6th cousin of Lord Donnel Hightower"
Fire and Blood Vol. 0,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Hightower, other brother(s) of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Hightower, 1st niece of Lord Donnel Hightower"
Fire and Blood Vol. 1,214,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Hightower, other niece(s) of Lord Donnel Hightower"
Fire and Blood Vol. 1,216,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,Lord Dondarrion in 54 AC father of Simon Dondarrion (he may be Lord Harmond Dondarrion)
Fire and Blood Vol. 1,216,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,Lord Simon Dondarrion
Fire and Blood Vol. 1,217,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,"Maester Kyrie, maester of Storm's End for Lord Rogar Baratheon in 54 AC"
Fire and Blood Vol. 1,217,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,Midwife during the childbirth of Alyssa Velaryon
Fire and Blood Vol. 1,217,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,1st of the 3 bedmaids during the childbirth of Alyssa Velaryon
Fire and Blood Vol. 1,217,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,1st of the 3 bedmaids during the childbirth of Alyssa Velaryon
Fire and Blood Vol. 1,217,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,1st of the 3 bedmaids during the childbirth of Alyssa Velaryon
Fire and Blood Vol. 1,217,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,Servant during the childbirth of Alyssa Velaryon
Fire and Blood Vol. 1,219,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,Wet nurse of Princess Daenerys Targaryen
Fire and Blood Vol. 1,220,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,Septa of Princess Aerea Targaryen
Fire and Blood Vol. 1,220,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Nicknamed,"""Ser Stupid"""
Fire and Blood Vol. 1,220,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Nicknamed,"""Lord Pigface"""
Fire and Blood Vol. 1,220,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Nicknamed,"""Lady Farts-a-Lot"""
Fire and Blood Vol. 1,222,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,"Lianna Velaryon, niece of Lord Daemon Velaryon"
Fire and Blood Vol. 1,222,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,Cassella Staunton
Fire and Blood Vol. 1,222,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,Septa Maryam
Fire and Blood Vol. 1,222,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,"Maester Anselm, maester at Dragonstone for Rhaena Targaryen"
Fire and Blood Vol. 1,223,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,Captain of the guards at Dragonstone in 54 AC
Fire and Blood Vol. 1,225,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,Nearest man to Androw Farman just before he commits suicide
Fire and Blood Vol. 1,226,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,"Lord Darnold Arryn, uncle of Lord Rodrik Arryn"
Fire and Blood Vol. 1,226,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,Named,"Ser Rymond Arryn, father of Lord Rodrik Arryn"
Fire and Blood Vol. 1,226,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Flowers, 1st bastard son of Lord Bertrand Tyrell"
Fire and Blood Vol. 1,226,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,UN,"Flowers, other bastard son(s) of Lord Bertrand Tyrell"
Fire and Blood Vol. 1,227,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,"Maester at Dragonstone, replaced Maester Anselm"
Fire and Blood Vol. 1,227,"Birth, Death and Betrayal Under King Jaehaerys I",Archmaester Gyldayn,US,New Captain fo the guards at Dragonstone
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,1st of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,2nd of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,3rd of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,4th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,5th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,6th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,7th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,8th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,9th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,10th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,11th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,12th of the 12 men sent with Ser Willam the Wasp in Essos to find Aerea Targaryen and Balerion
Fire and Blood Vol. 1,235,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,Braavosi who saw Elissa Farman when she was at Braavos
Fire and Blood Vol. 1,238,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Lord Mullendore in 55 AC, husband of Jennis Templeton"
Fire and Blood Vol. 1,238,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,Named,Lord Uther Peake
Fire and Blood Vol. 1,238,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,1st man killed in the tourney at the dragonpit in 55 AC
Fire and Blood Vol. 1,238,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,2nd man killed in the tourney at the dragonpit in 55 AC
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,Named,"Ser Harys Hogg, Harry the Ham"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,Named,Ser Guyle the Cunning
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,Named,Ser Alastor Reyne
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Baratheon, 1st niece of Rogar Baratheon, 1st companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Baratheon, 2nd niece of Rogar Baratheon, 2nd companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Sister of Lord Rodrik Arryn, 3rd companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Sister or daughter of Lord Vance, 4th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Sister or daughter of Lord Rowan, 5th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Sister or daughter of Lord Royce, 6th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Aunt or sister of Simon Dondarrion, 7th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,8th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,9th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,10th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,11th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC
Fire and Blood Vol. 1,239,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,Named,"Mara Manderly, 12th companion of Queen Alysanne Targaryen choosen during the tourney in 55 AC"
Fire and Blood Vol. 1,240,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Lady Tarth/Estermont, daughter of Larissa Velaryon/Tarth"
Fire and Blood Vol. 1,240,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"Elderly Lord Estermont in 55 AC, son-in-law to Larrisa Velaryon"
Fire and Blood Vol. 1,241,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,Pentoshi guide for Ser Wilam the Wasp
Fire and Blood Vol. 1,241,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,Agent of Lord Rego Draz in Pentos
Fire and Blood Vol. 1,242,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,Archon of Tyrosh in 56 AC (he may be the same as in 49 AC and in 58 AC)
Fire and Blood Vol. 1,243,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,UN,"The First Farwynd of the Lonely Light, an Ironborn captain"
Fire and Blood Vol. 1,244,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,US,Rival captain of Elissa Farman
Fire and Blood Vol. 1,244,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,Named,Ser Eustace Hightower
Fire and Blood Vol. 1,244,Jaehaerys and Alysanne - Their Triumphs and Tragedies,Archmaester Gyldayn,Named,Ser Norman Hightower
