id,paragraphs,cleaned_paragraphs
1040,"He wasted little time. On the day after his father’s funeral, he summoned Rhaena to his great hall (he would not deign to go to her), and commanded her to remove herself from his island. “You are not wanted here,” he told her. “You are not welcome here. Take your dragon with you, and your friends, and my little brother, who would surely piss his breeches if he were made to stay. But do not presume to take my sister. She will remain here, and she will be wed to a man of my choosing.”",He wasted little time . On day father ’ funeral summoned Rhaena great hall ( would deign go ) commanded remove island . “ You wanted ” told . “ You welcome . Take dragon friends little brother would surely piss breeches made stay . But presume take sister . She remain wed man choosing . ”
1041,"Franklyn Farman did not lack for courage, as Maester Smike wrote in a letter to the Citadel. He did lack for sense, however, and in that moment he did not seem to realize how close he stood to death. “I could see the fire in her eyes,” the maester said, “and for a moment I could see Faircastle burning, the white towers blackening and collapsing into the sea as flames leapt from every window and the dragon wheeled about again and again.”",Franklyn Farman lack courage Maester Smike wrote letter Citadel . He lack sense however moment seem realize close stood death . “ I could see fire eyes ” maester said “ moment I could see Faircastle burning white towers blackening collapsing sea flames leapt every window dragon wheeled . ”
1042,"Rhaena Targaryen was the blood of the dragon, and far too proud to linger long where she was not wanted. She departed Fair Isle that very night, taking wing for Casterly Rock upon Dreamfyre after instructing her husband and companions to follow her by ship, “with all those who might love me.” When Androw, flushed with anger, offered to face his brother in single combat, the queen quickly dissuaded him. “He would cut you to pieces, my love,” she told him, “and were I to be thrice widowed, men would name me a witch or worse and hound me from",Rhaena Targaryen blood dragon far proud linger long wanted . She departed Fair Isle night taking wing Casterly Rock upon Dreamfyre instructing husband companions follow ship “ might love me. ” When Androw flushed anger offered face brother single combat queen quickly dissuaded . “ He would cut pieces love ” told “ I thrice widowed men would name witch worse hound
1044,"Westeros.” Lyman Lannister, Lord of Casterly Rock, had sheltered her before, she reminded him. Queen Rhaena was confidant that he would welcome her again.",Westeros. ” Lyman Lannister Lord Casterly Rock sheltered reminded . Queen Rhaena confidant would welcome .
1045,"Androw Farman, Samantha Stokeworth, and Alayne Royce set out to follow the next morning, together with more than forty of the queen’s friends, servants, and hangers-on, for Her Grace had gathered a sizable coterie about her as the Queen in the West. Lady Elissa was with them as well, for she had no intention of remaining behind; her ship, the Maiden’s Fancy, had been made ready for the crossing. When the queen’s party reached the docks, however, they found Ser Franklyn waiting for them. The rest of them could go, and good riddance, he announced, but his sister would remain on Fair Isle to be wed.",Androw Farman Samantha Stokeworth Alayne Royce set follow next morning together forty queen ’ friends servants hangers-on Her Grace gathered sizable coterie Queen West . Lady Elissa well intention remaining behind ; ship Maiden ’ Fancy made ready crossing . When queen ’ party reached docks however found Ser Franklyn waiting . The rest could go good riddance announced sister would remain Fair Isle wed .
1046,"The new lord had brought only half a dozen men with him, however, and he had seriously misjudged the love the smallfolk bore his sister, particularly the sailors, shipwrights, fisherfolk, porters, and other denizens of the dockside districts, many of whom had known her since she was a small girl. As Lady Elissa confronted her brother, spitting defiance at him and demanding that he get out of her way, a crowd gathered around them, growing angrier by the moment. Oblivious to their mood, his lordship attempted to seize his sister…whereupon the onlookers rushed forward, overwhelming his men before they could draw their blades. Three of them were shoved off the docks into the water, whilst Lord Franklyn himself was thrown into a ship’s hold full of fresh-caught cod. Elissa Farman and the rest of the queen’s friends boarded Maiden’s Fancy untouched and set sail for Lannisport.",The new lord brought half dozen men however seriously misjudged love smallfolk bore sister particularly sailors shipwrights fisherfolk porters denizens dockside districts many known since small girl . As Lady Elissa confronted brother spitting defiance demanding get way crowd gathered around growing angrier moment . Oblivious mood lordship attempted seize sister…whereupon onlookers rushed forward overwhelming men could draw blades . Three shoved docks water whilst Lord Franklyn thrown ship ’ hold full fresh-caught cod . Elissa Farman rest queen ’ friends boarded Maiden ’ Fancy untouched set sail Lannisport .
1047,"Lyman Lannister, Lord of Casterly Rock, had given Rhaena and her husband Aegon the Uncrowned refuge when Maegor the Cruel was demanding their heads. His bastard son, Ser Tyler Hill, had fought with Prince Aegon under the Gods Eye. His wife, the formidable Lady Jocasta of House Tarbeck, had befriended Rhaena during her time at the Rock and had been the first to discern that she was with child. Just as the queen had expected, they welcomed her now, and when the rest of her party landed in Lannisport, the Lannisters took them in as well. A lavish feast was held in their honor, an entire stable was given over to Dreamfyre, and Queen Rhaena, her husband, and her companions of the Four-Headed Beast were assigned a regally appointed suite of apartments deep in the bowels of the Rock itself, safe from any harm. There they lingered for more than a moon’s turn, enjoying the hospitality of the wealthiest house in all of Westeros.",Lyman Lannister Lord Casterly Rock given Rhaena husband Aegon Uncrowned refuge Maegor Cruel demanding heads . His bastard son Ser Tyler Hill fought Prince Aegon Gods Eye . His wife formidable Lady Jocasta House Tarbeck befriended Rhaena time Rock first discern child . Just queen expected welcomed rest party landed Lannisport Lannisters took well . A lavish feast held honor entire stable given Dreamfyre Queen Rhaena husband companions Four-Headed Beast assigned regally appointed suite apartments deep bowels Rock safe harm . There lingered moon ’ turn enjoying hospitality wealthiest house Westeros .
1049,"As the days passed, however, that very hospitality grew ever more disquieting to Rhaena Targaryen. It became apparent to her that the bedmaids and servants assigned to them were tattlers and spies, bringing word of their every doing back to Lord and Lady Lannister. One of the castle septas asked Samantha Stokeworth whether the queen’s marriage to Androw Farman had ever been consummated, and if so, who had witnessed the bedding. Ser Tyler Hill, Lord Lyman’s comely bastard son, was openly scornful of Androw, even whilst doing all he could to ingratiate himself to Rhaena herself, regaling her with tales of his exploits at the Battle Beneath the Gods Eye and showing her the scars he had taken there “in your Aegon’s service.” Lord Lyman himself began to express an unseemly interest in the three dragon eggs that the queen had brought from Fair Isle, wondering how and when they might be expected to hatch. His wife, Lady Jocasta, suggested privately that one or more of the eggs would make a fine gift, if Her Grace should wish to show her gratitude to House Lannister for taking her in. When that ploy proved unsuccessful, Lord Lyman offered to buy the eggs outright for a staggering sum of gold.",As days passed however hospitality grew ever disquieting Rhaena Targaryen . It became apparent bedmaids servants assigned tattlers spies bringing word every back Lord Lady Lannister . One castle septas asked Samantha Stokeworth whether queen ’ marriage Androw Farman ever consummated witnessed bedding . Ser Tyler Hill Lord Lyman ’ comely bastard son openly scornful Androw even whilst could ingratiate Rhaena regaling tales exploits Battle Beneath Gods Eye showing scars taken “ Aegon ’ service. ” Lord Lyman began express unseemly interest three dragon eggs queen brought Fair Isle wondering might expected hatch . His wife Lady Jocasta suggested privately one eggs would make fine gift Her Grace wish show gratitude House Lannister taking . When ploy proved unsuccessful Lord Lyman offered buy eggs outright staggering sum gold .
1050,"The Lord of Casterly Rock wanted more than just a highborn guest, Queen Rhaena realized then. Beneath the warmth of his veneer, he was too cunning and too ambitious to settle for so little. He wanted an alliance with the Iron Throne, possibly through marriage between her and his bastard, or one of his trueborn sons; some union that would raise the Lannisters up past the Hightowers, the Baratheons, and the Velaryons to be the second house in the realm. And he wanted dragons. With dragonriders of their own, the Lannisters would be the equals of the Targaryens. “They were kings once,” she reminded Sam Stokeworth. “He smiles, but he was raised on tales of the Field of Fire; he will not have forgotten.” Rhaena Targaryen knew her history as well; the history of the Freehold of Valyria, writ in blood and fire. “We cannot remain here,” she confided to her dear companions.",The Lord Casterly Rock wanted highborn guest Queen Rhaena realized . Beneath warmth veneer cunning ambitious settle little . He wanted alliance Iron Throne possibly marriage bastard one trueborn sons ; union would raise Lannisters past Hightowers Baratheons Velaryons second house realm . And wanted dragons . With dragonriders Lannisters would equals Targaryens . “ They kings ” reminded Sam Stokeworth . “ He smiles raised tales Field Fire ; forgotten. ” Rhaena Targaryen knew history well ; history Freehold Valyria writ blood fire . “ We remain ” confided dear companions .
1051,"There we must leave Queen Rhaena for a time, whilst we cast our eyes eastward again toward King’s Landing and Dragonstone, where the regent and king remained at odds.",There must leave Queen Rhaena time whilst cast eyes eastward toward King ’ Landing Dragonstone regent king remained odds .
1052,"Vexing as the issue of the king’s marriage was to Queen Alyssa and Lord Rogar, it must not be thought that it was the only matter that concerned them during their regency. Coin, or rather the lack of coin, was the Crown’s most pressing problem. King Maegor’s wars had been ruinously expensive, exhausting the royal treasury. To refill his coffers",Vexing issue king ’ marriage Queen Alyssa Lord Rogar must thought matter concerned regency . Coin rather lack coin Crown ’ pressing problem . King Maegor ’ wars ruinously expensive exhausting royal treasury . To refill coffers
1054,"Maegor’s master of coin had raised existing taxes and imposed new ones, but these measures brought in less gold than anticipated and only served to deepen the anathema with which the lords of the realm regarded the king. Nor had the situation improved with the ascension of Jaehaerys. The young prince’s coronation and his mother’s Golden Wedding had both been splendid affairs that had done much to win him the love of lords and smallfolk alike, but all that had come at a cost. An even larger expense loomed ahead; Lord Rogar was determined to complete work on the Dragonpit before handing the city and the kingdom over to Jaehaerys, but the funds were lacking.",Maegor ’ master coin raised existing taxes imposed new ones measures brought less gold anticipated served deepen anathema lords realm regarded king . Nor situation improved ascension Jaehaerys . The young prince ’ coronation mother ’ Golden Wedding splendid affairs done much win love lords smallfolk alike come cost . An even larger expense loomed ahead ; Lord Rogar determined complete work Dragonpit handing city kingdom Jaehaerys funds lacking .
1055,"Edwell Celtigar, Lord of Claw Isle, had been an ineffectual Hand for Maegor the Cruel. Given a second chance under the regency, he proved to be an equally ineffectual master of coin. Unwilling to offend his fellow lords, Celtigar instead decided to impose new taxes on the smallfolk of King’s Landing, who were conveniently close at hand. Port fees were tripled, certain goods were to be taxed both coming into and out of the city, and new levies were asked of innkeeps and builders.",Edwell Celtigar Lord Claw Isle ineffectual Hand Maegor Cruel . Given second chance regency proved equally ineffectual master coin . Unwilling offend fellow lords Celtigar instead decided impose new taxes smallfolk King ’ Landing conveniently close hand . Port fees tripled certain goods taxed coming city new levies asked innkeeps builders .
1056,"None of these measures had the desired effect of filling up the treasury vaults. Instead building slowed to a halt, the inns emptied, and trade declined notably as merchants diverted their ships from King’s Landing to Driftmark, Duskendale, Maidenpool, and other ports where they might evade taxation. (Lannisport and Oldtown, the other great cities of the realm, were also included in Lord Celtigar’s new taxes, but there the decrees had less effect, largely because Casterly Rock and the Hightower ignored them and made no effort to collect.) The new levies did, however, serve to make Lord Celtigar loathed throughout the city. Lord Rogar and Queen Alyssa received their share of opprobrium as well. Another casualty was the Dragonpit; the Crown no longer had the funds to pay the builders, and all work on the great dome ceased.",None measures desired effect filling treasury vaults . Instead building slowed halt inns emptied trade declined notably merchants diverted ships King ’ Landing Driftmark Duskendale Maidenpool ports might evade taxation . ( Lannisport Oldtown great cities realm also included Lord Celtigar ’ new taxes decrees less effect largely Casterly Rock Hightower ignored made effort collect . ) The new levies however serve make Lord Celtigar loathed throughout city . Lord Rogar Queen Alyssa received share opprobrium well . Another casualty Dragonpit ; Crown longer funds pay builders work great dome ceased .
1057,"Storms were gathering to both north and south as well. With Lord Rogar occupied in King’s Landing, the Dornishmen had grown bold, raiding more frequently into the marches, even troubling the stormlands. There were rumors of another Vulture King in the Red Mountains, and Lord Rogar’s brothers Borys and Garon insisted they did not have the men and money required to root him out.",Storms gathering north south well . With Lord Rogar occupied King ’ Landing Dornishmen grown bold raiding frequently marches even troubling stormlands . There rumors another Vulture King Red Mountains Lord Rogar ’ brothers Borys Garon insisted men money required root .
1058,"Even more dire was the situation in the North. Brandon Stark, Lord of Winterfell, had died in 49 AC, not long after his return from the",Even dire situation North . Brandon Stark Lord Winterfell died 49 AC long return
1060,"Golden Wedding; the journey, the northmen said, had asked too much of him. His son Walton succeeded him, and when a sudden rebellion broke out in 50 AC amongst the men of the Night’s Watch at Rimegate and Sable Hall, he gathered his strength and rode to the Wall to join the leal watchmen in putting them down.",Golden Wedding ; journey northmen said asked much . His son Walton succeeded sudden rebellion broke 50 AC amongst men Night ’ Watch Rimegate Sable Hall gathered strength rode Wall join leal watchmen putting .
1061,"The rebels were former Poor Fellows and Warrior’s Sons who had accepted clemency from the boy king, led by Ser Olyver Bracken and Ser Raymund Mallery, the two turncloak knights who had served in Maegor’s Kingsguard before abandoning him for Jaehaerys. The Lord Commander of the Watch, unwisely, had given Bracken and Mallery command of two crumbling forts, with orders to restore them; instead the two men decided to make the castles their own seats and establish themselves as lords.",The rebels former Poor Fellows Warrior ’ Sons accepted clemency boy king led Ser Olyver Bracken Ser Raymund Mallery two turncloak knights served Maegor ’ Kingsguard abandoning Jaehaerys . The Lord Commander Watch unwisely given Bracken Mallery command two crumbling forts orders restore ; instead two men decided make castles seats establish lords .
1062,"Their uprising proved short-lived. For every man of the Night’s Watch who joined their rebellion, ten remained true to their vows. Once joined by Lord Stark and his bannermen, the black brothers retook Rimegate and hanged the oathbreakers, save for Ser Olyver himself, who was beheaded by Lord Stark with his celebrated blade Ice. When word reached Sable Hall, the rebels there fled beyond the Wall in hopes of making common cause with the wildlings. Lord Walton pursued them, but two days north in the snows of the haunted forest, he and his men were set upon by giants. It was written afterward that Walton Stark slew two of them before he was dragged from his saddle and torn apart. His surviving men carried him back to Castle Black in pieces.",Their uprising proved short-lived . For every man Night ’ Watch joined rebellion ten remained true vows . Once joined Lord Stark bannermen black brothers retook Rimegate hanged oathbreakers save Ser Olyver beheaded Lord Stark celebrated blade Ice . When word reached Sable Hall rebels fled beyond Wall hopes making common cause wildlings . Lord Walton pursued two days north snows haunted forest men set upon giants . It written afterward Walton Stark slew two dragged saddle torn apart . His surviving men carried back Castle Black pieces .
1063,"As for Ser Raymund Mallery and the other deserters, the wildlings gave them a cold welcome. Rebels or no, the free folk had no use for crows. Ser Raymund’s head was delivered to Eastwatch half a year later. When asked what had befallen the rest of his men, the wildling chieftan laughed and said, “We ate them.”",As Ser Raymund Mallery deserters wildlings gave cold welcome . Rebels free folk use crows . Ser Raymund ’ head delivered Eastwatch half year later . When asked befallen rest men wildling chieftan laughed said “ We ate . ”
1064,"Brandon Stark’s second son, Alaric, became the Lord of Winterfell. He would rule the North for twenty-three years, an able man though a stern one…but for a long while he had no good to say of King Jaehaerys, for he blamed the king’s clemency for his brother Walton’s death, and was oft heard to say that His Grace should have beheaded Maegor’s men rather than sending them to the Wall.",Brandon Stark ’ second son Alaric became Lord Winterfell . He would rule North twenty-three years able man though stern one…but long good say King Jaehaerys blamed king ’ clemency brother Walton ’ death oft heard say His Grace beheaded Maegor ’ men rather sending Wall .
1065,"Far removed from the troubles in the North, King Jaehaerys and Queen Alysanne remained in their self-imposed exile from the court,",Far removed troubles North King Jaehaerys Queen Alysanne remained self-imposed exile court
1067,"but they were anything but idle. Jaehaerys continued his rigorous training regimen with the knights of his Kingsguard every morn, and devoted his evenings to poring over accounts of the reign of his grandsire Aegon the Conqueror, on which he wished to model his own rule. Dragonstone’s three maesters assisted him in these inquiries, as did the queen.",anything idle . Jaehaerys continued rigorous training regimen knights Kingsguard every morn devoted evenings poring accounts reign grandsire Aegon Conqueror wished model rule . Dragonstone ’ three maesters assisted inquiries queen .
1068,"As the days passed, more and more visitors made their way to Dragonstone to talk with the king. Lord Massey of Stonedance was the first to appear, but Lord Staunton of Rook’s Rest, Lord Darklyn of Duskendale, and Lord Bar Emmon of Sharp Point came hard on his heels, followed by the Lords Harte, Rollingford, Mooton, and Stokeworth. Young Lord Rosby, whose father had taken his own life when King Maegor fell, turned up as well, sheepishly pleading for the young king’s forgiveness, which Jaehaerys was pleased to grant. Though Daemon Velaryon, as the Crown’s lord admiral and master of ships, was in King’s Landing with the regents, that did not prevent Jaehaerys and Alysanne from flying their dragons to Driftmark and touring his shipyards, escorted by his sons, Corwyn, Jorgen, and Victor. When word of these meetings reached Lord Rogar in King’s Landing he grew furious and went so far as to ask Lord Daemon if the Velaryon fleet could be used to prevent these “lords lickspittle” from crawling to Dragonstone to curry favor with the boy king. Lord Velaryon’s reply was blunt. “No,” he said. The Hand took this as a further sign of disrespect.",As days passed visitors made way Dragonstone talk king . Lord Massey Stonedance first appear Lord Staunton Rook ’ Rest Lord Darklyn Duskendale Lord Bar Emmon Sharp Point came hard heels followed Lords Harte Rollingford Mooton Stokeworth . Young Lord Rosby whose father taken life King Maegor fell turned well sheepishly pleading young king ’ forgiveness Jaehaerys pleased grant . Though Daemon Velaryon Crown ’ lord admiral master ships King ’ Landing regents prevent Jaehaerys Alysanne flying dragons Driftmark touring shipyards escorted sons Corwyn Jorgen Victor . When word meetings reached Lord Rogar King ’ Landing grew furious went far ask Lord Daemon Velaryon fleet could used prevent “ lords lickspittle ” crawling Dragonstone curry favor boy king . Lord Velaryon ’ reply blunt . “ No ” said . The Hand took sign disrespect .
1069,"Meanwhile, Queen Alysanne’s new ladies-in-waiting and companions had settled in on Dragonstone, and it soon became apparent that her mother’s hope that these Wise Women might persuade the little queen that her marriage was unwise and impious had gone seriously awry. Neither prayer, sermons, nor readings from The Seven-Pointed Star could shake Alysanne Targaryen’s conviction that the gods had meant her to marry her brother Jaehaerys, to be his confidant and helpmate and the mother of his children. “He will be a great king,” she told Septa Ysabel, Lady Lucinda, and the others, “and I will be a great queen.” So firm was she in her belief, and so gentle and kindly and loving in all else, that the septa and the other Wise Women found they could not condemn her, and with every passing day they clove more to her side.",Meanwhile Queen Alysanne ’ new ladies-in-waiting companions settled Dragonstone soon became apparent mother ’ hope Wise Women might persuade little queen marriage unwise impious gone seriously awry . Neither prayer sermons readings The Seven-Pointed Star could shake Alysanne Targaryen ’ conviction gods meant marry brother Jaehaerys confidant helpmate mother children . “ He great king ” told Septa Ysabel Lady Lucinda others “ I great queen. ” So firm belief gentle kindly loving else septa Wise Women found could condemn every passing day clove side .
1070,Lord Rogar’s own plan to drive Jaehaerys and Alysanne apart fared no better. The young king and his queen were to spend their lives,Lord Rogar ’ plan drive Jaehaerys Alysanne apart fared better . The young king queen spend lives
1072,"together, and though they would famously quarrel and part later in life, only to reunite, Septon Oswyck and Maester Culiper both tell us that never a cloud nor harsh word troubled their time together on Dragonstone before Jaehaerys reached his majority.",together though would famously quarrel part later life reunite Septon Oswyck Maester Culiper tell us never cloud harsh word troubled time together Dragonstone Jaehaerys reached majority .
1073,"Did Coryanne Wylde fail to bed the king? Is it possible that she never made the attempt? Is the whole tale of the meeting at the inn mayhaps a fiction? Any of these are possible. The author of A Caution for Young Girls would have it otherwise, but here that infamous text becomes even more unreliable, splintering off into half a dozen contradictory versions of events, each more vulgar than the last.",Did Coryanne Wylde fail bed king ? Is possible never made attempt ? Is whole tale meeting inn mayhaps fiction ? Any possible . The author A Caution Young Girls would otherwise infamous text becomes even unreliable splintering half dozen contradictory versions events vulgar last .
1074,"It would not do for the wanton at the heart of that tale to admit that Jaehaerys had rejected her, or that she never found the opportunity to lure him into a bedchamber. Instead we are offered an assortment of lewd adventures, a veritable feast of filth. A Wanton’s Tale insists that Lady Coryanne not only bedded the king, but also all seven members of the Kingsguard. His Grace supposedly gave her to Pate the Woodcock after he had sated his own lusts, Pate passed her to Ser Joffrey in turn, and so it went. The High and the Low omits these details, but tells us that Jaehaerys not only welcomed the girl into his bed, but also brought Queen Alysanne in to frolic with them in episodes most often associated with the infamous pleasure houses of Lys.",It would wanton heart tale admit Jaehaerys rejected never found opportunity lure bedchamber . Instead offered assortment lewd adventures veritable feast filth . A Wanton ’ Tale insists Lady Coryanne bedded king also seven members Kingsguard . His Grace supposedly gave Pate Woodcock sated lusts Pate passed Ser Joffrey turn went . The High Low omits details tells us Jaehaerys welcomed girl bed also brought Queen Alysanne frolic episodes often associated infamous pleasure houses Lys .
1075,"A somewhat more plausible tale is told in Sins of the Flesh, wherein Coryanne Wylde does indeed lure King Jaehaerys into her bed, only to find him fumbling, uncertain, and over-hasty, as many boys of his age are known to be when first abed with a maid. By that time, however, Lady Coryanne had grown to admire and respect Queen Alysanne, “as if she were my own little sister,” and had developed warm feelings for Jaehaerys as well. Instead of attempting to undo the king’s marriage, therefore, she took it upon herself to help make it a success by educating His Grace in the art of giving and receiving carnal pleasure, so that he might not prove incapable when the time came to bed his young wife.",A somewhat plausible tale told Sins Flesh wherein Coryanne Wylde indeed lure King Jaehaerys bed find fumbling uncertain over-hasty many boys age known first abed maid . By time however Lady Coryanne grown admire respect Queen Alysanne “ little sister ” developed warm feelings Jaehaerys well . Instead attempting undo king ’ marriage therefore took upon help make success educating His Grace art giving receiving carnal pleasure might prove incapable time came bed young wife .
1076,"This tale could well be as fanciful as the others, but it has a certain sweetness to it that has led some scholars to allow that it might, mayhaps, have happened. Lewd fables are not history, however, and history has only one sure thing to tell us about Lady Coryanne of House Wylde, the putative author of A Caution for Young Girls. On the fifteenth day of the sixth moon of 50 AC, she departed Dragonstone",This tale could well fanciful others certain sweetness led scholars allow might mayhaps happened . Lewd fables history however history one sure thing tell us Lady Coryanne House Wylde putative author A Caution Young Girls . On fifteenth day sixth moon 50 AC departed Dragonstone
1078,"under the cover of night in the company of Ser Howard Bullock, the younger son of the commander of the castle garrison. A married man, Ser Howard left his wife behind him, though he took most of her jewelry. A fishing boat carried him and Lady Coryanne to Driftmark, where they took ship for the Free City of Pentos. From there they made their way to the Disputed Lands, where Ser Howard signed on to a free company called, with a singular lack of inspiration, the Free Company. He would die in Myr three years later, not in battle but in a fall from his horse after a night of drinking. Alone and penniless, Coryanne Wylde moved on to the next of the trials, tribulations, and erotic adventures recounted in her book. We need hear no more of her.",cover night company Ser Howard Bullock younger son commander castle garrison . A married man Ser Howard left wife behind though took jewelry . A fishing boat carried Lady Coryanne Driftmark took ship Free City Pentos . From made way Disputed Lands Ser Howard signed free company called singular lack inspiration Free Company . He would die Myr three years later battle fall horse night drinking . Alone penniless Coryanne Wylde moved next trials tribulations erotic adventures recounted book . We need hear .
1079,"By the time word of Lady Coryanne’s flight with her purloined jewels and purloined husband reached the ears of Lord Rogar in the Red Keep, it had become obvious that his plan had failed, as had Queen Alyssa’s. Piety and lust had both proved unable to break the bond between Jaehaerys Targaryen and his Alysanne.",By time word Lady Coryanne ’ flight purloined jewels purloined husband reached ears Lord Rogar Red Keep become obvious plan failed Queen Alyssa ’ . Piety lust proved unable break bond Jaehaerys Targaryen Alysanne .
1080,"Moreover, word of the king’s marriage had begun to spread. Too many men had witnessed the confrontation at the castle gates, and the lords who had called at Dragonstone afterward had not failed to notice Alysanne’s presence at the king’s side, or the obvious affection between them. Rogar Baratheon might talk of tearing out tongues, but he was helpless against the whispers that spread throughout the land…and even across the narrow sea, where the magisters of Pentos and the sellswords of the Free Company were doubtless entertained by the tales Coryanne Wylde had to tell.",Moreover word king ’ marriage begun spread . Too many men witnessed confrontation castle gates lords called Dragonstone afterward failed notice Alysanne ’ presence king ’ side obvious affection . Rogar Baratheon might talk tearing tongues helpless whispers spread throughout land…and even across narrow sea magisters Pentos sellswords Free Company doubtless entertained tales Coryanne Wylde tell .
1081,"“It is done,” the Queen Regent told her councillors when she realized the truth at last. “It is done and cannot be undone, Seven save us. We must needs live with it, and we must use all our powers to protect them from what may come.” She had lost two sons to Maegor the Cruel, and a coldness lay between her and her oldest daughter; she could not bear the thought of being forever estranged from the two children who remained to her.",“ It done ” Queen Regent told councillors realized truth last . “ It done undone Seven save us . We must needs live must use powers protect may come. ” She lost two sons Maegor Cruel coldness lay oldest daughter ; could bear thought forever estranged two children remained .
1082,"Rogar Baratheon could not yield as gracefully, however, and his wife’s words woke in him a fury. In front of Grand Maester Benifer, Septon Mattheus, Lord Velaryon, and the rest, he spoke to her contemptuously. “You are weak,” he declared, “as weak as your first husband was, as weak as your son. Sentiment may be forgiven in a mother, but not in a regent, and never in a king. We were fools to",Rogar Baratheon could yield gracefully however wife ’ words woke fury . In front Grand Maester Benifer Septon Mattheus Lord Velaryon rest spoke contemptuously . “ You weak ” declared “ weak first husband weak son . Sentiment may forgiven mother regent never king . We fools
1084,"crown Jaehaerys. He thinks only of himself, and he will be a worse king than his father was. Thank the gods that it is not too late. We must act now and put him aside.”",crown Jaehaerys . He thinks worse king father . Thank gods late . We must act put aside . ”
1085,"A hush fell over the chamber at those words. The Queen Regent stared at her lord husband in horror and then, as if to prove that he had spoken truly, began to weep, her tears running silent down her cheeks. Only then did the other lords find their tongues. “Have you taken leave of your senses?” asked Lord Velaryon. Lord Corbray, Commander of the City Watch, shook his head and said, “My men will never stand for it.” Grand Maester Benifer exchanged a glance with Prentys Tully, the master of laws. Lord Tully said, “Do you mean to claim the Iron Throne for yourself, then?”",A hush fell chamber words . The Queen Regent stared lord husband horror prove spoken truly began weep tears running silent cheeks . Only lords find tongues . “ Have taken leave senses ? ” asked Lord Velaryon . Lord Corbray Commander City Watch shook head said “ My men never stand it. ” Grand Maester Benifer exchanged glance Prentys Tully master laws . Lord Tully said “ Do mean claim Iron Throne ? ”
1086,"This Lord Rogar denied vehemently. “Never. Do you take me for a usurper? I want only what is best for the Seven Kingdoms. No harm need come to Jaehaerys. We can send him to Oldtown, to the Citadel. He is a bookish boy, a maester’s chain will suit him.”",This Lord Rogar denied vehemently . “ Never . Do take usurper ? I want best Seven Kingdoms . No harm need come Jaehaerys . We send Oldtown Citadel . He bookish boy maester ’ chain suit . ”
1087,"“Then who shall sit the Iron Throne?” demanded Lord Celtigar. “Princess Aerea,” Lord Rogar answered at once. “There is a fire in",“ Then shall sit Iron Throne ? ” demanded Lord Celtigar . “ Princess Aerea ” Lord Rogar answered . “ There fire
1088,"her Jaehaerys does not have. She is young, but I can continue as her",Jaehaerys . She young I continue
1089,"Hand, shape her, guide her, teach her all she must know. She has the stronger claim, her mother and father were King Aenys’s first and secondborn, Jaehaerys was fourth.” His fist slammed against the table then, Benifer tells us. “Her mother will support her. Queen Rhaena. And Rhaena has a dragon.”",Hand shape guide teach must know . She stronger claim mother father King Aenys ’ first secondborn Jaehaerys fourth. ” His fist slammed table Benifer tells us . “ Her mother support . Queen Rhaena . And Rhaena dragon . ”
1090,"Grand Maester Benifer recorded what followed. “A silence fell, though the same words were on the lips of us all: ‘Jaehaerys and Alysanne have dragons too.’ Qarl Corbray had fought in the Battle Beneath the Gods Eye, had witnessed the terrible sight of dragon fighting dragon. For the rest of us, the Hand’s words conjured visions of Old Valyria before the Doom, when dragonlord contended with dragonlord for supremacy. It was an awful vision.”",Grand Maester Benifer recorded followed . “ A silence fell though words lips us : ‘ Jaehaerys Alysanne dragons too. ’ Qarl Corbray fought Battle Beneath Gods Eye witnessed terrible sight dragon fighting dragon . For rest us Hand ’ words conjured visions Old Valyria Doom dragonlord contended dragonlord supremacy . It awful vision . ”
1091,"It was Queen Alyssa who broke the spell, through her tears. “I am the Queen Regent,” she reminded them. “Until my son shall come of age, all of you serve at my pleasure. Including the Hand of the King.” When she turned to her lord husband, Benifer tells us that her eyes looked as hard and dark as obsidian. “Your service no longer pleases me, Lord Rogar. Leave us and return to Storm’s End, and we need",It Queen Alyssa broke spell tears . “ I Queen Regent ” reminded . “ Until son shall come age serve pleasure . Including Hand King. ” When turned lord husband Benifer tells us eyes looked hard dark obsidian . “ Your service longer pleases Lord Rogar . Leave us return Storm ’ End need
1093,never speak again of your treason.”,never speak treason . ”
1094,Rogar Baratheon looked at her incredulously. “Woman. You think you can dismiss me? No.” He laughed. “No.”,Rogar Baratheon looked incredulously . “ Woman . You think dismiss ? No. ” He laughed . “ No . ”
1095,"That was when Lord Corbray rose to his feet and drew his sword, the Valyrian steel blade called Lady Forlorn that was the pride of his house. “Yes,” he said, and laid the blade upon the table, its point toward Lord Rogar. Then and only then did his lordship realize that he had gone too far, that he stood alone against every man in the room. Or so Benifer tells us.",That Lord Corbray rose feet drew sword Valyrian steel blade called Lady Forlorn pride house . “ Yes ” said laid blade upon table point toward Lord Rogar . Then lordship realize gone far stood alone every man room . Or Benifer tells us .
